thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
19,0,19,[np.float64(-0.022222222222222223)],[np.float64(-0.3972222222222222)],[1],[0],[0],[1.6490479999920353],['Target'],19,0,19,0,32.59097989999282,,10,32.57616229999985,32.59097989999282,32.59097989999282,0.017372099988278933,34.22537580000062,[np.float64(-0.022222222222222223)],[np.float64(-0.3972222222222222)],[1],[0],[0],[1.6490479999920353],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
20,0,20,[np.float64(0.4083333333333333)],[np.float64(-0.44305555555555554)],[1],[0],[0],[1.706833699994604],['Target'],20,0,20,0,34.25600549999217,,5,34.23424299999897,34.25600549999217,34.25600549999217,0.008767100007389672,35.94120240000484,[np.float64(0.4083333333333333)],[np.float64(-0.44305555555555554)],[1],[0],[0],[1.706833699994604],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
21,0,21,[np.float64(0.018055555555555554)],[np.float64(-0.09583333333333334)],[1],[0],[0],[1.493115499994019],['Target'],21,0,21,0,35.98974619999353,,10,35.96395589999156,35.98974619999353,35.98974619999353,0.022668999998131767,37.45722850000311,[np.float64(0.018055555555555554)],[np.float64(-0.09583333333333334)],[1],[0],[0],[1.493115499994019],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
22,0,22,[np.float64(0.38472222222222224)],[np.float64(-0.08055555555555556)],[1],[0],[0],[1.4243877999979304],['Target'],22,0,22,0,37.489239300004556,,5,37.466381399994134,37.489239300004556,37.489239300004556,0.009054200010723434,38.89091649999318,[np.float64(0.38472222222222224)],[np.float64(-0.08055555555555556)],[1],[0],[0],[1.4243877999979304],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
23,0,23,[np.float64(-0.019444444444444445)],[np.float64(0.22916666666666666)],[1],[0],[0],[1.7581167000025744],['Target'],23,0,23,0,38.92191659999662,,5,38.899296299990965,38.92191659999662,38.92191659999662,0.008292299986351281,40.657544599991525,[np.float64(-0.019444444444444445)],[np.float64(0.22916666666666666)],[1],[0],[0],[1.7581167000025744],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
24,0,24,[np.float64(0.12916666666666668)],[np.float64(0.42916666666666664)],[1],[0],[0],[1.7080476999981329],['Target'],24,0,24,0,40.68947519999347,,5,40.66634039999917,40.68947519999347,40.68947519999347,0.008698900011950172,42.37451749999309,[np.float64(0.12916666666666668)],[np.float64(0.42916666666666664)],[1],[0],[0],[1.7080476999981329],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
25,0,25,[np.float64(0.043055555555555555)],[np.float64(-0.3958333333333333)],[1],[0],[0],[2.281559399998514],['Target'],25,0,25,0,42.404929600001196,,10,42.39229279999563,42.404929600001196,42.404929600001196,0.01768140000058338,44.67398179999145,[np.float64(0.043055555555555555)],[np.float64(-0.3958333333333333)],[1],[0],[0],[2.281559399998514],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
26,0,26,[np.float64(0.21388888888888888)],[np.float64(0.4111111111111111)],[1],[0],[0],[2.1248484999960056],['Target'],26,0,26,0,44.70497379999142,,5,44.68238470000506,44.70497379999142,44.70497379999142,0.008288600001833402,46.807385899999645,[np.float64(0.21388888888888888)],[np.float64(0.4111111111111111)],[1],[0],[0],[2.1248484999960056],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
27,0,27,[np.float64(-0.14722222222222223)],[np.float64(0.04583333333333333)],[1],[0],[0],[1.3880120000103489],['Target'],27,0,27,0,46.83762540000316,,5,46.81866330000048,46.83762540000316,46.83762540000316,0.011206499999389052,48.20683789999748,[np.float64(-0.14722222222222223)],[np.float64(0.04583333333333333)],[1],[0],[0],[1.3880120000103489],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
28,0,28,[np.float64(0.12916666666666668)],[np.float64(0.3680555555555556)],[1],[0],[0],[1.2803050999937113],['Target'],28,0,28,0,48.23768900000141,,10,48.22703629999887,48.23768900000141,48.23768900000141,0.02011889999266714,49.507495600002585,[np.float64(0.12916666666666668)],[np.float64(0.3680555555555556)],[1],[0],[0],[1.2803050999937113],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
