thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
119,0,119,[np.float64(-0.4125)],[np.float64(0.38472222222222224)],[1],[0],[0],[1.7687600999997812],['Target'],119,0,119,0,223.9771022,,5,223.9616438,223.9771022,223.9771022,0.0148601,225.7306335,[np.float64(-0.4125)],[np.float64(0.38472222222222224)],[1],[0],[0],[1.7687600999997812],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
120,0,120,[np.float64(-0.2875)],[np.float64(-0.04583333333333333)],[1],[0],[0],[1.610098500001186],['Target'],120,0,120,0,225.7939369,,10,225.7699145,225.7939369,225.7939369,0.0391059,227.3802569,[np.float64(-0.2875)],[np.float64(-0.04583333333333333)],[1],[0],[0],[1.610098500001186],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
121,0,121,[np.float64(-0.26944444444444443)],[np.float64(-0.17916666666666667)],[1],[0],[0],[1.720704300001671],['Target'],121,0,121,0,227.4628925,,10,227.4252448,227.4628925,227.4628925,0.0447794,229.1462337,[np.float64(-0.26944444444444443)],[np.float64(-0.17916666666666667)],[1],[0],[0],[1.720704300001671],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
122,0,122,[np.float64(0.06944444444444445)],[np.float64(0.020833333333333332)],[1],[0],[0],[1.4841744000004837],['Target'],122,0,122,0,229.1969079,,10,229.1766721,229.1969079,229.1969079,0.0302688,230.6610177,[np.float64(0.06944444444444445)],[np.float64(0.020833333333333332)],[1],[0],[0],[1.4841744000004837],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
123,0,123,"[np.float64(0.2777777777777778), np.float64(0.29583333333333334)]","[np.float64(0.11527777777777778), np.float64(0.11388888888888889)]","[1, 1]","[0, 0]","[0, 0]","[2.0240537999998196, 3.4064274999982445]","[None, 'Target']",123,0,123,0,230.696055,,5,230.6724582,230.696055,230.696055,0.0113252,234.0790939,"[np.float64(0.2777777777777778), np.float64(0.29583333333333334)]","[np.float64(0.11527777777777778), np.float64(0.11388888888888889)]","[1, 1]","[0, 0]","[0, 0]","[2.0240537999998196, 3.4064274999982445]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
124,0,124,[np.float64(-0.10694444444444444)],[np.float64(-0.39166666666666666)],[1],[0],[0],[1.4785865000012564],['Target'],124,0,124,0,234.1270642,,5,234.0990939,234.1270642,234.1270642,0.0198147,235.5778988,[np.float64(-0.10694444444444444)],[np.float64(-0.39166666666666666)],[1],[0],[0],[1.4785865000012564],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
125,0,125,[np.float64(-0.3277777777777778)],[np.float64(0.4736111111111111)],[1],[0],[0],[2.5873092000038014],['Target'],125,0,125,0,235.6098823,,5,235.5903037,235.6098823,235.6098823,0.0123104,238.1777873,[np.float64(-0.3277777777777778)],[np.float64(0.4736111111111111)],[1],[0],[0],[2.5873092000038014],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
126,0,126,[np.float64(-0.2847222222222222)],[np.float64(-0.35)],[1],[0],[0],[2.4265678000010666],['Target'],126,0,126,0,238.2260463,,10,238.2009457,238.2260463,238.2260463,0.0230807,240.6277062,[np.float64(-0.2847222222222222)],[np.float64(-0.35)],[1],[0],[0],[2.4265678000010666],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
127,0,127,[np.float64(0.05277777777777778)],[np.float64(0.32083333333333336)],[1],[0],[0],[4.885226099999272],['Target'],127,0,127,0,240.676226,,10,240.6591093,240.676226,240.676226,0.0312515,245.5445066,[np.float64(0.05277777777777778)],[np.float64(0.32083333333333336)],[1],[0],[0],[4.885226099999272],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
128,0,128,[np.float64(-0.39166666666666666)],[np.float64(0.018055555555555554)],[1],[0],[0],[1.4602377000046545],['Target'],128,0,128,0,245.596476,,10,245.5668961,245.596476,245.596476,0.0222857,247.0273424,[np.float64(-0.39166666666666666)],[np.float64(0.018055555555555554)],[1],[0],[0],[1.4602377000046545],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
129,0,129,[np.float64(0.29583333333333334)],[np.float64(0.38333333333333336)],[1],[0],[0],[3.9036058000056073],['Target'],129,0,129,0,247.0578831,,5,247.0396986,247.0578831,247.0578831,0.0122031,250.9434726,[np.float64(0.29583333333333334)],[np.float64(0.38333333333333336)],[1],[0],[0],[3.9036058000056073],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
130,0,130,[np.float64(-0.2638888888888889)],[np.float64(0.4527777777777778)],[1],[0],[0],[1.413627699999779],['Target'],130,0,130,0,250.9915378,,10,250.965615,250.9915378,250.9915378,0.0220529,252.3794598,[np.float64(-0.2638888888888889)],[np.float64(0.4527777777777778)],[1],[0],[0],[1.413627699999779],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
131,0,131,[np.float64(-0.4722222222222222)],[np.float64(-0.16805555555555557)],[1],[0],[0],[1.3693350000030478],['Target'],131,0,131,0,252.4586486,,10,252.4240777,252.4586486,252.4586486,0.0444166,253.7936837,[np.float64(-0.4722222222222222)],[np.float64(-0.16805555555555557)],[1],[0],[0],[1.3693350000030478],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
132,0,132,[np.float64(-0.03333333333333333)],[np.float64(0.4486111111111111)],[1],[0],[0],[2.0553813000005903],['Target'],132,0,132,0,253.841026,,10,253.820918,253.841026,253.841026,0.0270906,255.8765043,[np.float64(-0.03333333333333333)],[np.float64(0.4486111111111111)],[1],[0],[0],[2.0553813000005903],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
133,0,133,[np.float64(0.4152777777777778)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.282803000001877],['Target'],133,0,133,0,255.9070844,,5,255.8942332,255.9070844,255.9070844,0.0175777,257.1772593,[np.float64(0.4152777777777778)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.282803000001877],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
