thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
86,0,86,"[np.float64(0.4222222222222222), np.float64(0.4361111111111111)]","[np.float64(-0.12361111111111112), np.float64(-0.13194444444444445)]","[1, 1]","[0, 0]","[0, 0]","[1.4430646999971941, 2.2082707999943523]","[None, 'Target']",86,0,86,0,140.5527804999947,,10,140.52820199999405,140.5527804999947,140.5527804999947,0.023438199998054188,142.73671099999774,"[np.float64(0.4222222222222222), np.float64(0.4361111111111111)]","[np.float64(-0.12361111111111112), np.float64(-0.13194444444444445)]","[1, 1]","[0, 0]","[0, 0]","[1.4430646999971941, 2.2082707999943523]","[None, 'Target']",FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
87,0,87,[np.float64(0.07083333333333333)],[np.float64(0.04027777777777778)],[1],[0],[0],[1.7740516000048956],['Target'],87,0,87,0,142.7679547000007,,5,142.7490770000004,142.7679547000007,142.7679547000007,0.012190900000859983,144.52333989999897,[np.float64(0.07083333333333333)],[np.float64(0.04027777777777778)],[1],[0],[0],[1.7740516000048956],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
88,0,88,[np.float64(-0.4444444444444444)],[np.float64(-0.18333333333333332)],[1],[0],[0],[1.5975686999954632],['Target'],88,0,88,0,144.5522781999971,,5,144.54035920000024,144.5522781999971,144.5522781999971,0.01686179999524029,146.1380835999953,[np.float64(-0.4444444444444444)],[np.float64(-0.18333333333333332)],[1],[0],[0],[1.5975686999954632],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
89,0,89,[np.float64(0.06111111111111111)],[np.float64(-0.175)],[1],[0],[0],[1.2087108999985503],['Target'],89,0,89,0,146.18518489999406,,10,146.16189469999517,146.18518489999406,146.18518489999406,0.023683100000198465,147.37076839999645,[np.float64(0.06111111111111111)],[np.float64(-0.175)],[1],[0],[0],[1.2087108999985503],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
90,0,90,[np.float64(0.3277777777777778)],[np.float64(0.3486111111111111)],[1],[0],[0],[2.5296151000002283],['Target'],90,0,90,0,147.4007547000001,,10,147.39001909999934,147.4007547000001,147.4007547000001,0.019146499995258637,149.9197720999946,[np.float64(0.3277777777777778)],[np.float64(0.3486111111111111)],[1],[0],[0],[2.5296151000002283],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
91,0,91,[np.float64(-0.41388888888888886)],[np.float64(-0.30277777777777776)],[1],[0],[0],[1.2899385999990045],['Target'],91,0,91,0,149.95119539999723,,5,149.92949029999727,149.95119539999723,149.95119539999723,0.009620599994377699,151.21964119999757,[np.float64(-0.41388888888888886)],[np.float64(-0.30277777777777776)],[1],[0],[0],[1.2899385999990045],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
92,0,92,[np.float64(-0.08611111111111111)],[np.float64(0.17916666666666667)],[1],[0],[0],[1.2738632999971742],['Target'],92,0,92,0,151.25044440000056,,5,151.22920129999693,151.25044440000056,151.25044440000056,0.009378500006278045,152.50321909999911,[np.float64(-0.08611111111111111)],[np.float64(0.17916666666666667)],[1],[0],[0],[1.2738632999971742],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
93,0,93,[np.float64(-0.29583333333333334)],[np.float64(-0.011111111111111112)],[1],[0],[0],[1.0670402999967337],['Target'],93,0,93,0,152.53422709999722,,10,152.51957530000072,152.53422709999722,152.53422709999722,0.016266999999061227,153.58675909999874,[np.float64(-0.29583333333333334)],[np.float64(-0.011111111111111112)],[1],[0],[0],[1.0670402999967337],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
94,0,94,"[np.float64(0.37777777777777777), np.float64(0.3888888888888889)]","[np.float64(0.020833333333333332), np.float64(0.027777777777777776)]","[1, 1]","[0, 0]","[0, 0]","[1.4705291999998735, 2.2357540000011795]","[None, 'Target']",94,0,94,0,153.61718119999568,,5,153.60001609999745,153.61718119999568,153.61718119999568,0.013141199997335207,155.83590749999712,"[np.float64(0.37777777777777777), np.float64(0.3888888888888889)]","[np.float64(0.020833333333333332), np.float64(0.027777777777777776)]","[1, 1]","[0, 0]","[0, 0]","[1.4705291999998735, 2.2357540000011795]","[None, 'Target']",FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
95,0,95,[np.float64(0.14444444444444443)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.3824429000014788],['Target'],95,0,95,0,155.866672199998,,10,155.8550288999977,155.866672199998,155.866672199998,0.019028899994737003,157.23767319999752,[np.float64(0.14444444444444443)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.3824429000014788],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
