reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
80,175,38,18,18,0,t,0.02914300002157688,None,0,18,18,80,24.641511199995875,,24.628287100000307,24.641511199995875,25.624694199999794,25.624694199999794,25.64165440000943,25.65878789999988,t,0.02914300002157688,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
24,48,10,19,19,0,l,0.06815249999635853,None,0,19,19,52,25.67517269999371,,25.66172760000336,25.67517269999371,26.658109299984062,26.658109299984062,26.67677679998451,26.74314959999174,l,0.06815249999635853,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
100,160,185,20,20,0,l,0.020845100021688268,None,0,20,20,44,26.758288199984236,,26.747430099989288,26.758288199984236,27.758029899996473,27.758029899996473,27.758029899996473,27.792259999987436,l,0.020845100021688268,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
22,44,9,21,21,0,l,0.22855349999736063,None,0,21,21,51,27.80824620000203,,27.795382499985863,27.80824620000203,28.808156999992207,28.808156999992207,28.808156999992207,29.04202369999257,l,0.22855349999736063,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
84,185,40,22,22,0,t,0.04339889998664148,None,0,22,22,82,29.057952800008934,,29.045324899983825,29.057952800008934,30.043307899992215,30.043307899992215,30.05865829999675,30.091445800004294,t,0.04339889998664148,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
104,235,50,23,23,0,t,0.1403623000078369,None,0,23,23,92,30.107934500003466,,30.094971399987116,30.107934500003466,31.091094400006114,31.091094400006114,31.107759300008183,31.241500600008294,t,0.1403623000078369,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
42,84,19,24,24,0,l,0.18669919998501427,None,0,24,24,61,31.257708299992373,,31.245063299982576,31.257708299992373,32.24094660000992,32.24094660000992,32.25773499999195,32.44212769999285,l,0.18669919998501427,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
90,200,43,25,25,0,l,0.004751899978145957,None,0,25,25,85,32.4579267000081,,32.44610500000999,32.4579267000081,33.457443699997384,33.457443699997384,33.457443699997384,33.47503790000337,l,0.004751899978145957,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
25,45,16,26,26,0,l,0.2320045999949798,None,0,26,26,10,33.490976400004,,33.478481099999044,33.490976400004,34.4908768000023,34.4908768000023,34.4908768000023,34.72467709999182,l,0.2320045999949798,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
60,125,28,27,27,0,l,0.043155199993634596,None,0,27,27,70,34.7409983999969,,34.72770359998685,34.7409983999969,35.72448479998275,35.72448479998275,35.740597199997865,35.7740216999955,l,0.043155199993634596,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
